fold,model,roc_auc,pr_auc,accuracy,f1_score,precision,recall_sensitivity,specificity,brier_score,true_positives,true_negatives,false_positives,false_negatives
1,Random Forest,0.8414707655213984,0.8784530044134777,0.7746478873239436,0.7866666666666666,0.8309859154929577,0.7468354430379747,0.8095238095238095,0.163098930530566,59,51,12,20
1,AdaBoost,0.8264014466546112,0.8756225338477207,0.7605633802816901,0.782051282051282,0.7922077922077922,0.7721518987341772,0.746031746031746,0.17486819131295797,61,47,16,18
1,Soft Voting (RF + AdaBoost),0.8406670685151698,0.880319848638967,0.7746478873239436,0.7866666666666666,0.8309859154929577,0.7468354430379747,0.8095238095238095,0.16643986161165394,59,51,12,20
1,Stacking (RF + AdaBoost),0.8426763110307415,0.8819433256090817,0.7887323943661971,0.8051948051948052,0.8266666666666667,0.7848101265822784,0.7936507936507936,0.16049571280263034,62,50,13,17
2,Random Forest,0.8524193548387097,0.8917473111537233,0.7887323943661971,0.8,0.8571428571428571,0.75,0.8387096774193549,0.16049579672018777,60,52,10,20
2,AdaBoost,0.853125,0.8670498906332893,0.7535211267605634,0.7741935483870968,0.8,0.75,0.7580645161290323,0.16939089024847648,60,47,15,20
2,Soft Voting (RF + AdaBoost),0.8610887096774194,0.8905351091853968,0.8028169014084507,0.8157894736842105,0.8611111111111112,0.775,0.8387096774193549,0.16215386730673292,62,52,10,18
2,Stacking (RF + AdaBoost),0.8588709677419354,0.8918385268700414,0.7816901408450704,0.8,0.8266666666666667,0.775,0.7903225806451613,0.1524895827900051,62,49,13,18
3,Random Forest,0.90625,0.9362024270136913,0.8098591549295775,0.8301886792452831,0.8354430379746836,0.825,0.7903225806451613,0.13778247560775433,66,49,13,14
3,AdaBoost,0.8953629032258064,0.9267967345526277,0.8169014084507042,0.8354430379746836,0.8461538461538461,0.825,0.8064516129032258,0.15695047861231348,66,50,12,14
3,Soft Voting (RF + AdaBoost),0.9030241935483871,0.9334598629285681,0.8169014084507042,0.8333333333333334,0.8552631578947368,0.8125,0.8225806451612904,0.14535585068941656,65,51,11,15
3,Stacking (RF + AdaBoost),0.9046370967741936,0.9349319366535838,0.795774647887324,0.8198757763975155,0.8148148148148148,0.825,0.7580645161290323,0.12978472019095622,66,47,15,14
4,Random Forest,0.9193548387096774,0.9467960931935401,0.8450704225352113,0.8571428571428571,0.8918918918918919,0.825,0.8709677419354839,0.1326527595045844,66,54,8,14
4,AdaBoost,0.9001008064516128,0.9251138927835236,0.823943661971831,0.84472049689441,0.8395061728395061,0.85,0.7903225806451613,0.15406603065385233,68,49,13,12
4,Soft Voting (RF + AdaBoost),0.9181451612903225,0.943710255980165,0.8450704225352113,0.8589743589743589,0.881578947368421,0.8375,0.8548387096774194,0.1404376075428819,67,53,9,13
4,Stacking (RF + AdaBoost),0.91875,0.9447887898971958,0.8309859154929577,0.8461538461538461,0.868421052631579,0.825,0.8387096774193549,0.12010770198136805,66,52,10,14
5,Random Forest,0.8881175990200082,0.9213808025356783,0.7872340425531915,0.8,0.8450704225352113,0.759493670886076,0.8225806451612904,0.13948324957817296,60,51,11,19
5,AdaBoost,0.8620865659452838,0.8959647691497103,0.75177304964539,0.782608695652174,0.7682926829268293,0.7974683544303798,0.6935483870967742,0.16122675380679216,63,43,19,16
5,Soft Voting (RF + AdaBoost),0.8836259697835851,0.9174095193153381,0.7943262411347518,0.8152866242038217,0.8205128205128205,0.810126582278481,0.7741935483870968,0.14761801836252472,64,48,14,15
5,Stacking (RF + AdaBoost),0.8846467946100449,0.9187155796302368,0.7943262411347518,0.8176100628930818,0.8125,0.8227848101265823,0.7580645161290323,0.14012386960868448,65,47,15,14
