feature,r2_score,mse
cea,0.949484677860733,0.05051532213926699
ca199,0.9433334932846802,0.05666650671531983
tb,0.9361032609245182,0.06389673907548177
ca724,0.9350455627753144,0.06495443722468563
nlr_computed,0.9277999993772098,0.07220000062279024
neu_lym,0.9258052082894811,0.07419479171051889
hb_rdw_ratio,0.9037641808191091,0.09623581918089086
atherogenic_index,0.8941837801509921,0.1058162198490079
tumor_marker_composite,0.8910258984315461,0.10897410156845387
alb_tb_ratio,0.8781188191466894,0.12188118085331054
hb,0.8772023758130032,0.12279762418699686
tg,0.8767908074121,0.1232091925878999
log_neu_lym,0.8649948748617795,0.13500512513822047
lpa,0.8589872985641027,0.14101270143589725
alt,0.8545723193579811,0.14542768064201889
ca125,0.8475814520416801,0.15241854795831994
log_tb,0.8439159620312197,0.15608403796878034
hct,0.8398150608534184,0.16018493914658163
chol,0.7980405483093116,0.20195945169068835
log_tg,0.7896703232894358,0.21032967671056424
log_lpa,0.7724208737548653,0.22757912624513466
lym,0.7630363315561846,0.23696366844381542
rdw,0.739925820566821,0.260074179433179
ldl,0.7317185006770055,0.26828149932299444
cr,0.7216903981501512,0.2783096018498488
plt_lym_ratio,0.7174560146626692,0.28254398533733077
neu,0.7081154277950856,0.29188457220491437
log_alt,0.7053728137712685,0.2946271862287315
log_ca724,0.6971372817135344,0.30286271828646555
hdl,0.6822920170662117,0.3177079829337884
gender,0.6636251353925984,0.33637486460740157
log_ca125,0.6130615567141473,0.38693844328585275
log_cea,0.6120427178438321,0.3879572821561678
alb,0.5945462495892955,0.40545375041070447
log_ca199,0.5648288688355736,0.43517113116442624
plt,0.5302412671961085,0.4697587328038915
age,0.47938559774089895,0.520614402259101
