feature,importance
alb,0.13516247466504647
age,0.11499560169843699
hct,0.06583198833345327
tumor_marker_composite,0.06214245239946007
log_cea,0.05199005042256795
hb_rdw_ratio,0.051388768929222485
log_neu_lym,0.04883131245438037
hdl,0.04288089922637192
hb,0.04078567694166117
gender,0.039832390825029595
nlr_computed,0.03800898294008782
log_ca125,0.03401041728724044
cr,0.03354604174607591
log_ca199,0.033197320574940126
chol,0.030242019681755328
rdw,0.026168181574053165
plt_lym_ratio,0.02228004224527882
log_lpa,0.02217349808585122
atherogenic_index,0.021379031769411277
alb_tb_ratio,0.020403851333509034
log_tg,0.01957018132828976
log_alt,0.01762612372321764
log_ca724,0.014214607246546013
log_tb,0.013338084568113195
