fold,model,roc_auc,pr_auc,accuracy,f1_score,precision,recall_sensitivity,specificity,brier_score,true_positives,true_negatives,false_positives,false_negatives
1,RF (Latent z),0.8318264014466545,0.8856756398873737,0.7535211267605634,0.782608695652174,0.7682926829268293,0.7974683544303798,0.6984126984126984,0.1649587579175842,63,44,19,16
1,AdaBoost (Latent z),0.8335342575848905,0.8817839913242689,0.7394366197183099,0.7757575757575758,0.7441860465116279,0.810126582278481,0.6507936507936508,0.17282959566999054,64,41,22,15
1,Soft Voting (Latent z),0.840867992766727,0.8905807954568001,0.7394366197183099,0.7730061349693251,0.75,0.7974683544303798,0.6666666666666666,0.16692909108537754,63,42,21,16
1,Stacking (Latent z),0.84207353827607,0.8919797376302687,0.7253521126760564,0.7636363636363637,0.7325581395348837,0.7974683544303798,0.6349206349206349,0.1659572175463567,63,40,23,16
1,Soft Voting (Hybrid: X+z),0.8430781595338558,0.8860808691834932,0.7746478873239436,0.7922077922077922,0.8133333333333334,0.7721518987341772,0.7777777777777778,0.16416178824404215,61,49,14,18
1,Stacking (Hybrid: X+z),0.8450874020494274,0.8870976898341013,0.795774647887324,0.8152866242038217,0.8205128205128205,0.810126582278481,0.7777777777777778,0.15830522047156873,64,49,14,15
2,RF (Latent z),0.8133064516129032,0.8743561592078541,0.7323943661971831,0.7323943661971831,0.8387096774193549,0.65,0.8387096774193549,0.17555633122779501,52,52,10,28
2,AdaBoost (Latent z),0.8148185483870968,0.876036166519174,0.7464788732394366,0.7567567567567568,0.8235294117647058,0.7,0.8064516129032258,0.18227557858402216,56,50,12,24
2,Soft Voting (Latent z),0.822983870967742,0.8822889386162651,0.7253521126760564,0.7272727272727273,0.8253968253968254,0.65,0.8225806451612904,0.17648407021894577,52,51,11,28
2,Stacking (Latent z),0.822983870967742,0.8824604413624549,0.7394366197183099,0.7482993197278912,0.8208955223880597,0.6875,0.8064516129032258,0.17197509135846645,55,50,12,25
2,Soft Voting (Hybrid: X+z),0.8659274193548386,0.9022082326511012,0.7887323943661971,0.8,0.8571428571428571,0.75,0.8387096774193549,0.15908735283047729,60,52,10,20
2,Stacking (Hybrid: X+z),0.8689516129032258,0.9048633537905312,0.795774647887324,0.8104575163398693,0.8493150684931506,0.775,0.8225806451612904,0.14968007455725396,62,51,11,18
3,RF (Latent z),0.8441532258064517,0.8883355894827939,0.7464788732394366,0.7692307692307693,0.7894736842105263,0.75,0.7419354838709677,0.16565589392439137,60,46,16,20
3,AdaBoost (Latent z),0.8348790322580646,0.8728935430538436,0.7464788732394366,0.788235294117647,0.7444444444444445,0.8375,0.6290322580645161,0.17826339571293495,67,39,23,13
3,Soft Voting (Latent z),0.8439516129032258,0.8854814890114768,0.7676056338028169,0.7924528301886793,0.7974683544303798,0.7875,0.7419354838709677,0.17016984808793806,63,46,16,17
3,Stacking (Latent z),0.8455645161290322,0.8876271917921514,0.7605633802816901,0.7901234567901234,0.7804878048780488,0.8,0.7096774193548387,0.1629070666328803,64,44,18,16
3,Soft Voting (Hybrid: X+z),0.9062500000000001,0.937085992085169,0.8169014084507042,0.8354430379746836,0.8461538461538461,0.825,0.8064516129032258,0.14545850114844777,66,50,12,14
3,Stacking (Hybrid: X+z),0.9050403225806453,0.9357692950907742,0.8169014084507042,0.8375,0.8375,0.8375,0.7903225806451613,0.12866465391397042,67,49,13,13
4,RF (Latent z),0.884475806451613,0.9179183390760841,0.8098591549295775,0.8187919463087249,0.8840579710144928,0.7625,0.8709677419354839,0.1479500748259052,61,54,8,19
4,AdaBoost (Latent z),0.8601814516129034,0.8953512793631582,0.7676056338028169,0.7843137254901961,0.821917808219178,0.75,0.7903225806451613,0.17061160485600463,60,49,13,20
4,Soft Voting (Latent z),0.8798387096774194,0.9132556998634522,0.8028169014084507,0.8108108108108109,0.8823529411764706,0.75,0.8709677419354839,0.15690553610737032,60,54,8,20
4,Stacking (Latent z),0.8840725806451613,0.9170849129014595,0.8098591549295775,0.8235294117647058,0.863013698630137,0.7875,0.8387096774193549,0.14213173311348146,63,52,10,17
4,Soft Voting (Hybrid: X+z),0.9213709677419354,0.9473869101364013,0.8098591549295775,0.8235294117647058,0.863013698630137,0.7875,0.8387096774193549,0.1416824231555759,63,52,10,17
4,Stacking (Hybrid: X+z),0.9243951612903225,0.9490733503480612,0.823943661971831,0.8387096774193549,0.8666666666666667,0.8125,0.8387096774193549,0.12103557103258927,65,52,10,15
5,RF (Latent z),0.8901592486729276,0.9248990560336052,0.7730496453900709,0.8024691358024691,0.7831325301204819,0.8227848101265823,0.7096774193548387,0.14033820978008577,65,44,18,14
5,AdaBoost (Latent z),0.8683135973866885,0.8959183819769413,0.7588652482269503,0.7951807228915663,0.7586206896551724,0.8354430379746836,0.6612903225806451,0.16250085216288956,66,41,21,13
5,Soft Voting (Latent z),0.8852592895059208,0.9184804455043887,0.7659574468085106,0.8,0.7674418604651163,0.8354430379746836,0.6774193548387096,0.1494173645360661,66,42,20,13
5,Stacking (Latent z),0.888730093915884,0.9222279588772018,0.7730496453900709,0.8072289156626506,0.7701149425287356,0.8481012658227848,0.6774193548387096,0.1410410482041413,67,42,20,12
5,Soft Voting (Hybrid: X+z),0.8932217231523071,0.923385512963919,0.8085106382978723,0.8258064516129032,0.8421052631578947,0.810126582278481,0.8064516129032258,0.1437330151304668,64,50,12,15
5,Stacking (Hybrid: X+z),0.8968966925275623,0.9264121225829918,0.7943262411347518,0.8198757763975155,0.8048780487804879,0.8354430379746836,0.7419354838709677,0.13253241389658554,66,46,16,13
