feature,r2_score
gender,0.5152545882382871
age,0.47832566293073076
log_neu_lym,0.897144100337409
nlr_computed,0.9634933593696418
hb,0.8931693336690759
hct,0.8631850784374637
rdw,0.8909926865933226
hb_rdw_ratio,0.9257701909531982
plt_lym_ratio,0.8056333240635146
alb,0.6200048951880925
log_alt,0.45314175877800034
log_tb,0.8232377160393911
alb_tb_ratio,0.8984796428737073
cr,0.8790584977153263
log_tg,0.6342059573555744
chol,0.6396566018729076
hdl,0.6847786862764453
atherogenic_index,0.778287387300915
log_lpa,0.40854642451989565
log_cea,0.9108807299546418
log_ca199,0.9402800871346488
log_ca125,0.8977167353620062
log_ca724,0.7278748638844097
tumor_marker_composite,0.9468863317190667
